,Model,Default TDP,AMD Configurable TDP (cTDP),GPU Base
508,Sempron™ 3850 APU with Radeon™ R3 Series,25.0,,
509,6234,115.0,,
510,Sempron™ 2650 APU with Radeon™ R3 Series,25.0,,
511,E2-7110 with Radeon™ R2 Graphics,65.0,,
512,6220,115.0,,
513,E2-7110 with Radeon™ R2 Graphics,65.0,,
514,6212,115.0,,
515,E2-6110 with Radeon™ R2 Graphics,15.0,,
516,6204,115.0,,
517,E2-3800 with Radeon™ HD 8280,15.0,,
518,E2-3000 with Radeon™ HD 8280,15.0,,
519,6180 SE,140.0,,
520,6176,115.0,,
521,6166 HE,85.0,,
522,6140,115.0,,
523,6132 HE,85.0,,
524,E2-7110 with Radeon™ R2 Graphics,65.0,,
525,4386,95.0,,
526,4376 HE,65.0,,
527,4365,40.0,,
528,4340,95.0,,
529,4334,95.0,,
530,E1-7010 with Radeon™ R2 Graphics,10.0,,
531,4332 HE,65.0,,
532,4310 EE,35.0,,
533,E1 Micro-6200T with Radeon™ R2 Graphics,3.95,,
534,4284,95.0,,
535,E1-6010 with Radeon™ R2 Graphics,10.0,,
536,4280,95.0,,
537,E1-2500 with Radeon™ HD 8240,15.0,,
538,4276 HE,65.0,,
539,E1-2200 with Radeon™ HD 8210,9.0,,
540,4274 HE,65.0,,
541,E1-2100 with Radeon™ HD 8210,9.0,,
542,4256 EE,35.0,,
543,4240,95.0,,
544,4238,95.0,,
545,4234,95.0,,
